,text,embeddings,distances
61,"April 7 – President of Yemen Abdrabbuh Mansur Hadi resigns from office, dismisses vice president Ali Mohsen al-Ahmar, and transfers both offices' powers to the newly formed eight-member Presidential Leadership Council, chaired by Rashad al-Alimi.","[-0.01918981 -0.01197408 -0.00127106 ... -0.01185675  0.02630777
  0.00988171]",0.26572793066130207
62,"April 8 – Russian invasion of Ukraine: Russia is condemned by world leaders following a missile attack on Kramatorsk train station, which kills 59 civilians trying to evacuate, including seven children.","[-0.00100815 -0.00850545 -0.00286812 ...  0.01546678  0.0130166
  0.0118936 ]",0.1293682756043436
63,"April 8 – Global food prices increase to their highest level since the UN's Food Price Index began in 1990, with commodities such as wheat rising by nearly 20% as a result of the Ukraine crisis.","[-0.00355328 -0.01846666 -0.00169234 ...  0.00187066  0.01127581
  0.01255966]",0.2217834844648069
64,"April 11 – The National Assembly of Pakistan elects leader of the opposition Shehbaz Sharif as prime minister of Pakistan, after Imran Khan is removed from office following a motion of no confidence two days prior.","[-0.01706964 -0.0027833  -0.02341702 ...  0.02145717 -0.00291764
 -0.01263153]",0.2729382409340414
65,April 13 – COVID-19 pandemic: The number of confirmed cases exceeds 500 million worldwide.,"[ 0.00016154 -0.00726957  0.00452776 ...  0.01096723 -0.0072507
 -0.01918008]",0.2674122486256144
66,"April 14 – Russian invasion of Ukraine: The Russian flagship Moskva becomes the largest warship to be sunk in action since World War II. Ukraine claims to have struck it with Neptune anti-ship missiles, while Russia claims it sank during stormy weather after an onboard fire.","[-0.01058247 -0.01319494  0.00184497 ...  0.00656432  0.00377946
  0.00917678]",0.14683689915149567
67,"April 18 – Russian invasion of Ukraine: The battle of Donbas begins, leading to the deaths of several thousand military personnel and civilians.","[-0.0061521  -0.00407593  0.00488793 ...  0.01153997  0.00450581
  0.0001013 ]",0.13074012664843204
68,"April 19 – The second round of voting of the 2022 East Timorese presidential election is held and the National Congress for Timorese Reconstruction party presidential candidate, former president and former prime minister José Ramos-Horta is elected.","[-0.03674904 -0.01253644 -0.0173632  ...  0.01116393  0.00126497
 -0.00155967]",0.2720061081538885
69,"April 20 – A European Southern Observatory team announce the discovery of micronovae, a new type of exploding star.","[-0.00450007 -0.00101211 -0.00531886 ...  0.02786472 -0.00137277
 -0.02267907]",0.26068174372994257
70,"April 22 – The Large Hadron Collider recommences full operations, three years after being shut down for upgrades.","[-0.0125163   0.00180408 -0.02696231 ...  0.02875801  0.01279102
  0.00123789]",0.2809404891454843
71,"April 24 – The 2022 Slovenian parliamentary election is held to elect all 90 members of the National Assembly of Slovenia, the lower house of the Slovenian Parliament; the Freedom Movement party becomes the largest party, winning 41 of 90 seats.","[-0.01006271 -0.00122073 -0.01233045 ...  0.00150262 -0.01156612
 -0.01348012]",0.2767346094923905
72,"April 25 – Elon Musk reaches an agreement to acquire the social media network Twitter (which he later rebrands as X) for $44 billion USD, which later closes in October.","[-0.01151656 -0.01461324  0.01079998 ...  0.01217557  0.01539381
 -0.00361492]",0.2803532606536979
73,April 27 – The European Union accuses Russia of blackmail after gas supplies to Poland and Bulgaria are halted by energy giant Gazprom.,"[ 0.0018431  -0.0255543   0.01328824 ...  0.01438707  0.01736415
 -0.00024097]",0.1815243915945356
74,"April 28 – The Parliament of Montenegro elects a new government with Dritan Abazović as prime minister, following a motion of no confidence against the government of Zdravko Krivokapić.","[ 0.00273103 -0.00053591 -0.03282931 ... -0.01158905 -0.012159
  0.00106075]",0.24441534292062517
75,"May 6 – 2022 monkeypox outbreak: An outbreak of monkeypox begins when the first monkeypox virus case is reported in London, the United Kingdom.","[-0.00617717 -0.0130877   0.00115489 ...  0.00290524  0.01248597
 -0.00249469]",0.2621063896069291
76,May 9 – Prime Minister of Sri Lanka Mahinda Rajapaksa resigns as a result of massive protests against his government across the country. He is succeeded by Ranil Wickremesinghe as prime minister three days later.,"[-0.00148327  0.0007535  -0.01456851 ... -0.01820114 -0.00415158
  0.00429081]",0.25778603750137674
77,May 9 – 2022 Philippine presidential election: Bongbong Marcos and Sara Duterte are elected the 17th President and 15th Vice President of the Philippines in a landslide victory.,"[-0.03312345 -0.02488093 -0.00953961 ... -0.01114338 -0.01015939
  0.00782081]",0.27166852152350585
78,"May 10–May 14 – The Eurovision Song Contest 2022 is held in Turin, Italy. The contest is won by Ukrainian folk-rap group Kalush Orchestra with their song ""Stefania"".","[-0.00879998 -0.03797074  0.01530375 ...  0.00173498 -0.00637229
 -0.03394277]",0.22150692942575612
79,"May 12 – The Event Horizon Telescope collaboration reveals its first image of Sagittarius A*, the supermassive black hole at the centre of the Milky Way.","[ 0.00081165 -0.00921738 -0.01630564 ...  0.01973075 -0.00271265
 -0.03478007]",0.28857457960509114
80,May 13 – Mohamed bin Zayed Al Nahyan is elected as the 3rd president of the United Arab Emirates by the Federal Supreme Council following the death of Khalifa bin Zayed Al Nahyan a day earlier.,"[-0.01946552 -0.02943319 -0.01266592 ... -0.00879948  0.00959309
 -0.00665358]",0.28120916902868365
